green,scenario,candidates,relaxed,primaryV,primaryBeta,x108,x35,x43,xChanged
128_001_2_03_4,0,1,0,3.480,3.00,3.480@3.00,3.480@3.00,3.480@3.00,0
128_001_2_03_4,1,1,0,3.154,3.00,3.154@3.00,3.154@3.00,3.154@3.00,0
128_001_1_07_3,0,2,0,3.480,7.00,3.480@7.00,3.480@7.00,3.480@7.00,0
128_001_1_07_3,1,1,0,3.263,7.00,3.263@7.00,3.263@7.00,3.263@7.00,0
128_001_1_03_4,0,14,1,3.371,3.00,3.371@3.00,3.371@3.00,3.371@3.00,0
128_001_1_03_4,1,20,1,3.154,3.00,3.046@3.00,3.154@3.00,3.154@3.00,1
128_001_1_05_3,0,1,0,3.154,3.00,3.154@3.00,3.154@3.00,3.154@3.00,0
128_001_1_05_3,1,2,0,2.937,1.00,2.937@1.00,2.937@1.00,3.046@1.00,1
128_001_2_06_4,0,3,0,2.611,-19.00,2.611@-19.00,2.611@-19.00,2.611@-19.00,0
128_001_2_06_4,1,1,0,2.829,-17.00,2.829@-17.00,2.829@-17.00,2.829@-17.00,0
