_session,attempt_id,rgb_candidates,depth_accepted,false_positive_rejected,auto_nx,auto_ny,auto_score,auto_world_x,auto_world_y,auto_world_z,depth_verdict,depth_delta_m,manual_world_x,manual_world_y,manual_world_z,delta_m,outcome
gate6-scan-20260719-144647,05382336,329,Y,313,0.401674,0.044693,1.000000,-0.434629,-0.919754,-0.493618,accepted,-0.005371,0.024961,-0.986350,-0.360945,0.482970,shadow_far_from_manual
gate6-scan-20260719-144758,0269BB6D,339,Y,327,0.083682,0.022346,1.000000,-0.579300,-0.958769,-1.130537,accepted,-0.005371,0.064303,-1.054156,-0.418537,0.964503,shadow_far_from_manual
gate6-scan-20260719-144858,948CFAF8,345,Y,331,0.870293,0.033520,1.000000,-0.448310,-1.038800,0.114276,accepted,-0.003418,-0.000383,-1.114621,-0.402580,0.688133,shadow_far_from_manual
gate6-scan-20260719-145005,4C95F22E,335,Y,324,0.075314,0.033520,1.000000,-0.495943,-0.893980,-0.887335,accepted,-0.004883,0.101444,-0.983606,-0.287490,0.851304,shadow_far_from_manual
gate6-scan-20260719-145134,511D4758,328,Y,309,0.150628,0.067039,1.000000,-0.625437,-1.034174,-1.154555,accepted,-0.020020,0.037444,-1.091798,-0.521466,0.918440,shadow_far_from_manual
gate6-scan-20260719-145247,494437FB,324,Y,298,0.251046,0.100559,1.000000,-0.748699,-1.030711,-0.871043,accepted,-0.003418,-0.121562,-1.126740,-0.526105,0.722153,shadow_far_from_manual
gate6-scan-20260719-145332,1499BACF,330,Y,296,0.117155,0.111732,1.000000,-0.494559,-0.952087,-1.115365,accepted,-0.041016,0.002826,-1.068195,-0.442569,0.844705,shadow_far_from_manual
gate6-scan-20260719-145413,653A5497,334,Y,302,0.368201,0.033520,1.000000,-0.549266,-1.068620,-0.784589,accepted,-0.021484,0.049371,-1.191876,-0.536696,0.659552,shadow_far_from_manual
gate6-scan-20260719-145516,33F9FB41,340,Y,313,0.184100,0.022346,1.000000,-0.690158,-0.951338,-0.907902,accepted,-0.019043,-0.046302,-1.079525,-0.467590,0.790479,shadow_far_from_manual
gate6-scan-20260719-150643,C55D5E2A,52,Y,51,0.878661,0.659218,0.800000,0.083226,-1.050057,-2.269541,accepted,-0.006836,0.014561,-1.066757,-2.779172,0.514507,shadow_far_from_manual
gate6-scan-20260719-150757,96AEA112,87,Y,80,0.903766,0.871508,1.000000,0.252796,-0.816667,0.373054,accepted,-0.033936,0.088937,-0.999766,-0.119925,0.550820,shadow_far_from_manual
gate6-scan-20260719-150838,C7324131,102,Y,95,0.870293,0.849162,0.960000,0.201660,-0.801571,0.257496,accepted,-0.057129,0.054963,-1.041884,-0.227248,0.560577,shadow_far_from_manual
gate6-scan-20260719-150923,243F1998,152,Y,143,0.736402,0.536313,1.000000,0.073068,-0.982428,0.245685,accepted,-0.009033,0.004413,-0.989272,-0.064532,0.317797,shadow_far_from_manual
gate6-scan-20260719-150950,61D422CD,112,Y,102,0.853556,0.558659,1.000000,0.070906,-0.993083,-0.098406,accepted,-0.022705,-0.079688,-1.055066,-0.526395,0.457924,shadow_far_from_manual
gate6-scan-20260719-151013,CAFE14C2,75,Y,75,0.853556,0.692737,1.000000,0.129228,-1.161388,0.071949,accepted,-0.001953,-0.016929,-1.126444,-0.454488,0.547466,shadow_far_from_manual
gate6-scan-20260719-151047,1B252467,184,Y,177,0.861925,0.759777,1.000000,-0.799572,-0.599022,2.210779,accepted,-0.004883,-0.718817,-0.574078,2.196449,0.085726,shadow_far_from_manual
gate6-scan-20260719-151113,8EFE3619,127,Y,124,0.937238,0.670391,1.000000,-0.066580,-0.885344,0.149327,accepted,-0.011230,-0.100528,-0.952664,-0.364609,0.519436,shadow_far_from_manual
