_session,attempt_id,rgb_candidates,depth_accepted,false_positive_rejected,auto_nx,auto_ny,auto_score,auto_world_x,auto_world_y,auto_world_z,depth_verdict,depth_delta_m,manual_world_x,manual_world_y,manual_world_z,delta_m,outcome
gate6-scan-20260719-144647,6E9BC8E2,129,Y,124,0.020921,0.223464,1.000000,-0.062178,-0.758320,-5.640037,accepted,0.017578,0.259969,-0.804888,-4.709701,0.985633,shadow_far_from_manual
gate6-scan-20260719-144758,02A1852C,132,Y,127,0.355649,0.279330,1.000000,-0.436070,-0.850772,-6.104177,accepted,0.015625,-0.190803,-0.816774,-5.812936,0.382273,shadow_far_from_manual
gate6-scan-20260719-144858,5A7F56DE,130,Y,126,0.251046,0.139665,1.000000,-0.329323,-1.024910,-4.814983,accepted,0.014648,0.104838,-0.976706,-4.322872,0.658022,shadow_far_from_manual
gate6-scan-20260719-145005,5601BC6E,132,N,132,,,,,,,,,-0.305191,-0.788290,-4.310011,,depth_rejected_or_no_world
gate6-scan-20260719-145134,7E609A82,134,Y,125,0.146444,0.167598,1.000000,-0.871160,-0.995033,-5.305301,accepted,0.018555,-0.344577,-0.956846,-4.545850,0.924940,shadow_far_from_manual
gate6-scan-20260719-145247,63E1A55E,133,Y,126,0.251046,0.167598,1.000000,-1.024687,-0.981461,-4.930311,accepted,0.017578,-0.558407,-0.943563,-4.470451,0.655991,shadow_far_from_manual
gate6-scan-20260719-145332,F0C4F44E,132,Y,129,0.292887,0.167598,1.000000,-0.531192,-0.861112,-6.698990,accepted,0.014648,-0.173354,-0.846671,-6.308987,0.529489,shadow_far_from_manual
gate6-scan-20260719-145413,EB7C1AC3,128,Y,123,0.125523,0.167598,1.000000,-0.629974,-0.982408,-7.024107,accepted,0.014160,-0.166237,-0.953749,-6.196971,0.948697,shadow_far_from_manual
gate6-scan-20260719-145516,4D950C74,129,Y,124,0.020921,0.027933,1.000000,-2.214605,-0.841945,-5.642891,accepted,0.039062,-1.250181,-0.888456,-4.864336,1.240333,shadow_far_from_manual
gate6-scan-20260719-150643,B89233E6,35,N,35,,,,,,,,,0.016707,-1.064566,-2.833077,,depth_rejected_or_no_world
gate6-scan-20260719-150757,5AF74862,18,N,18,,,,,,,,,0.244749,-0.970075,-3.091824,,depth_rejected_or_no_world
gate6-scan-20260719-150838,2CCA9651,10,N,10,,,,,,,,,0.600918,-1.007292,-2.686230,,depth_rejected_or_no_world
gate6-scan-20260719-150923,B9CF6E38,34,N,34,,,,,,,,,-0.214607,-0.973654,-1.740624,,depth_rejected_or_no_world
gate6-scan-20260719-150950,D3EC8999,16,N,16,,,,,,,,,-0.547612,-1.033316,-2.463233,,depth_rejected_or_no_world
gate6-scan-20260719-151013,A19D9692,18,N,18,,,,,,,,,-0.143427,-1.147950,-2.876241,,depth_rejected_or_no_world
gate6-scan-20260719-151047,671137AD,51,Y,50,0.857741,0.949721,0.940625,1.688117,-0.655443,-0.639506,accepted,0.014893,1.817299,-0.706695,-1.115447,0.495817,shadow_far_from_manual
gate6-scan-20260719-151113,6F67D8B4,45,N,45,,,,,,,,,-0.065062,-0.942485,-2.715942,,depth_rejected_or_no_world
