grid_x,grid_y,local_x_m,local_y_m,height_m,measured,interpolated
0,0,-3.6500000000000004,-1.55,-0.7797422451734941,false,true
1,0,-3.6000000000000005,-1.55,-0.7791606793810594,false,true
2,0,-3.5500000000000003,-1.55,-0.7776617193047611,false,true
3,0,-3.5000000000000004,-1.55,-0.7741995125022825,false,true
4,0,-3.45,-1.55,-0.7716225149229493,false,true
5,0,-3.4000000000000004,-1.55,-0.7718045115470886,false,true
6,0,-3.3500000000000005,-1.55,-0.7711010710704842,false,true
7,0,-3.3000000000000003,-1.55,-0.7699271041028819,false,true
8,0,-3.2500000000000004,-1.55,-0.7657711983222485,false,true
9,0,-3.2,-1.55,-0.7541112752649731,false,true
10,0,-3.1500000000000004,-1.55,-0.7377930708624552,false,true
11,0,-3.1000000000000005,-1.55,-0.7255076710566204,false,true
12,0,-3.0500000000000003,-1.55,-0.7212934501568316,false,true
13,0,-3.0000000000000004,-1.55,-0.7201633667473645,false,true
14,0,-2.95,-1.55,-0.7200263138919611,false,true
15,0,-2.9000000000000004,-1.55,-0.720467210536621,false,true
16,0,-2.8500000000000005,-1.55,-0.7222163677215575,false,true
17,0,-2.8000000000000003,-1.55,-0.7229275107383728,false,true
18,0,-2.7500000000000004,-1.55,-0.7214637100696565,false,true
19,0,-2.7,-1.55,-0.7199999094009399,false,true
20,0,-2.6500000000000004,-1.55,-0.7199999094009399,false,true
21,0,-2.6000000000000005,-1.55,-0.7395556694973706,false,true
22,0,-2.5500000000000003,-1.55,-0.7528476250595592,false,true
23,0,-2.5,-1.55,-0.7534373998641968,false,true
24,0,-2.45,-1.55,-0.7531931071413699,false,true
25,0,-2.4000000000000004,-1.55,-0.7388830285480072,false,true
26,0,-2.3500000000000005,-1.55,-0.7311365093405277,false,true
27,0,-2.3000000000000003,-1.55,-0.7321242339512656,false,true
28,0,-2.25,-1.55,-0.7326972484588623,false,true
29,0,-2.2,-1.55,-0.7435804492311773,false,true
30,0,-2.1500000000000004,-1.55,-0.7499825785104505,false,true
31,0,-2.1000000000000005,-1.55,-0.7499933540821077,false,true
32,0,-2.0500000000000003,-1.55,-0.7500006339812484,false,true
33,0,-2.0,-1.55,-0.7500021655416698,false,true
34,0,-1.9500000000000002,-1.55,-0.7499999403953553,false,true
35,0,-1.9000000000000004,-1.55,-0.755471167068721,false,true
36,0,-1.8500000000000003,-1.55,-0.7586236144176477,false,true
37,0,-1.8000000000000003,-1.55,-0.7585997250185438,false,true
38,0,-1.7500000000000002,-1.55,-0.7585996440191115,false,true
39,0,-1.7000000000000002,-1.55,-0.758602340547439,false,true
40,0,-1.6500000000000004,-1.55,-0.7586044669151306,false,true
41,0,-1.6,-1.55,-0.7612086659834606,false,true
42,0,-1.5500000000000003,-1.55,-0.7627800912792941,false,true
43,0,-1.5000000000000004,-1.55,-0.7628002721923229,false,true
44,0,-1.4500000000000002,-1.55,-0.762809246778488,false,true
45,0,-1.4000000000000004,-1.55,-0.7649400379334099,false,true
46,0,-1.35,-1.55,-0.7661888422679101,false,true
47,0,-1.3000000000000003,-1.55,-0.7661893367767334,false,true
48,0,-1.25,-1.55,-0.747881743463227,false,true
49,0,-1.2000000000000002,-1.55,-0.729574143886566,false,true
50,0,-1.1500000000000004,-1.55,-0.7612759401273717,false,true
51,0,-1.1,-1.55,-0.7799347526432818,false,true
52,0,-1.0500000000000003,-1.55,-0.7799810256388586,false,true
53,0,-1.0,-1.55,-0.7799950425914514,false,true
54,0,-0.9500000000000002,-1.55,-0.7799984656328516,false,true
55,0,-0.9000000000000004,-1.55,-0.7799999117851257,false,true
56,0,-0.8500000000000001,-1.55,-0.7816561648092281,false,true
57,0,-0.8000000000000003,-1.55,-0.7826256739247422,false,true
58,0,-0.75,-1.55,-0.7826253807330023,false,true
59,0,-0.7000000000000002,-1.55,-0.7826252579689026,false,true
60,0,-0.6500000000000004,-1.55,-0.7826253324775426,false,true
61,0,-0.6000000000000001,-1.55,-0.7991473791760235,false,true
62,0,-0.5500000000000003,-1.55,-0.8099999428287381,false,true
63,0,-0.5,-1.55,-0.809999942779541,false,true
64,0,-0.4500000000000002,-1.55,-0.809999942779541,false,true
65,0,-0.40000000000000036,-1.55,-0.7649999261711328,false,true
66,0,-0.3500000000000001,-1.55,-0.7199999094009399,false,true
67,0,-0.30000000000000027,-1.55,-0.7869873178981549,false,true
68,0,-0.25,-1.55,-0.8277164663526373,false,true
69,0,-0.20000000000000018,-1.55,-0.8290985941888254,false,true
70,0,-0.15000000000000036,-1.55,-0.8301902219549256,false,true
71,0,-0.10000000000000009,-1.55,-0.8310783496716247,false,true
72,0,-0.050000000000000266,-1.55,-0.8317719597590889,false,true
73,0,0.0,-1.55,-0.8322697495450666,false,true
74,0,0.04999999999999982,-1.55,-0.8325914184422188,false,true
75,0,0.09999999999999964,-1.55,-0.8327767433299248,false,true
76,0,0.1499999999999999,-1.55,-0.8328712722399396,false,true
77,0,0.19999999999999973,-1.55,-0.8329136312890906,false,true
78,0,0.25,-1.55,-0.8329301412366735,false,true
79,0,0.2999999999999998,-1.55,-0.8329356642055185,false,true
80,0,0.34999999999999964,-1.55,-0.8329372213408145,false,true
81,0,0.39999999999999947,-1.55,-0.8329375819644259,false,true
82,0,0.4500000000000002,-1.55,-0.8329376479978611,false,true
83,0,0.5,-1.55,-0.8329376569857163,false,true
84,0,0.5499999999999998,-1.55,-0.832937657796595,false,true
85,0,0.5999999999999996,-1.55,-0.8329376578330994,false,true
86,0,0.6499999999999995,-1.55,-0.8329376578330994,false,true
87,0,0.7000000000000002,-1.55,-0.8395299050242772,false,true
88,0,0.75,-1.55,-0.8433916887062749,false,true
89,0,0.7999999999999998,-1.55,-0.843391743042238,false,true
0,1,-3.6500000000000004,-1.5,-0.7799405927382166,false,true
1,1,-3.6000000000000005,-1.5,-0.7794617393574002,false,true
2,1,-3.5500000000000003,-1.5,-0.7779550029222732,false,true
3,1,-3.5000000000000004,-1.5,-0.7754469335826146,false,true
4,1,-3.45,-1.5,-0.7723243271993918,false,true
5,1,-3.4000000000000004,-1.5,-0.7713651328287855,false,true
6,1,-3.3500000000000005,-1.5,-0.7718045115470886,true,false
7,1,-3.3000000000000003,-1.5,-0.7701062560081482,true,false
8,1,-3.2500000000000004,-1.5,-0.7677963376045227,true,false
9,1,-3.2,-1.5,-0.7585721611976624,true,false
10,1,-3.1500000000000004,-1.5,-0.7341175675392151,true,false
11,1,-3.1000000000000005,-1.5,-0.7222119271755219,true,false
12,1,-3.0500000000000003,-1.5,-0.7215586602687836,true,false
13,1,-3.0000000000000004,-1.5,-0.7199999094009399,true,false
14,1,-2.95,-1.5,-0.7189992368221283,true,false
15,1,-2.9000000000000004,-1.5,-0.7215052247047424,true,false
16,1,-2.8500000000000005,-1.5,-0.7220993290314207,false,true
17,1,-2.8000000000000003,-1.5,-0.7229275107383728,true,false
18,1,-2.7500000000000004,-1.5,-0.7131847348488227,false,true
19,1,-2.7,-1.5,-0.7199999094009399,true,false
20,1,-2.6500000000000004,-1.5,-0.7357118460641986,false,true
21,1,-2.6000000000000005,-1.5,-0.7520135575320949,false,true
22,1,-2.5500000000000003,-1.5,-0.7534373998641968,false,true
23,1,-2.5,-1.5,-0.7528476250595592,false,true
24,1,-2.45,-1.5,-0.7397318512056639,false,true
25,1,-2.4000000000000004,-1.5,-0.7293249456969909,false,true
26,1,-2.3500000000000005,-1.5,-0.7313138690631859,false,true
27,1,-2.3000000000000003,-1.5,-0.7326972484588623,false,true
28,1,-2.25,-1.5,-0.7435262876029846,false,true
29,1,-2.2,-1.5,-0.7499673395508705,false,true
30,1,-2.1500000000000004,-1.5,-0.7499933540821077,false,true
31,1,-2.1000000000000005,-1.5,-0.750005006653091,false,true
32,1,-2.0500000000000003,-1.5,-0.7500053123737659,false,true
33,1,-2.0,-1.5,-0.7499999403953553,false,true
34,1,-1.9500000000000002,-1.5,-0.7555406863863854,false,true
35,1,-1.9000000000000004,-1.5,-0.758676270083014,false,true
36,1,-1.8500000000000003,-1.5,-0.7586064305637313,false,true
37,1,-1.8000000000000003,-1.5,-0.7585952603915437,false,true
38,1,-1.7500000000000002,-1.5,-0.758599333409411,false,true
39,1,-1.7000000000000002,-1.5,-0.7586044669151306,false,true
40,1,-1.6500000000000004,-1.5,-0.7611465243974902,false,true
41,1,-1.6,-1.5,-0.7627403448315236,false,true
42,1,-1.5500000000000003,-1.5,-0.7627875802108516,false,true
43,1,-1.5000000000000004,-1.5,-0.762809246778488,false,true
44,1,-1.4500000000000002,-1.5,-0.7649390458310076,false,true
45,1,-1.4000000000000004,-1.5,-0.7661881429268254,false,true
46,1,-1.35,-1.5,-0.7661893367767334,false,true
47,1,-1.3000000000000003,-1.5,-0.7478817523206651,false,true
48,1,-1.25,-1.5,-0.729574143886566,false,true
49,1,-1.2000000000000002,-1.5,-0.7611590101566793,false,true
50,1,-1.1500000000000004,-1.5,-0.779852010473167,false,true
51,1,-1.1,-1.5,-0.779955449674779,false,true
52,1,-1.0500000000000003,-1.5,-0.7799882247907522,false,true
53,1,-1.0,-1.5,-0.7799964204646923,false,true
54,1,-0.9500000000000002,-1.5,-0.7799999117851257,false,true
55,1,-0.9000000000000004,-1.5,-0.7816571504156411,false,true
56,1,-0.8500000000000001,-1.5,-0.782626258988118,false,true
57,1,-0.8000000000000003,-1.5,-0.7826255543476569,false,true
58,1,-0.75,-1.5,-0.7826252579689026,false,true
59,1,-0.7000000000000002,-1.5,-0.7826254378486719,false,true
60,1,-0.6500000000000004,-1.5,-0.7963126752195038,false,true
61,1,-0.6000000000000001,-1.5,-0.8099999429475102,false,true
62,1,-0.5500000000000003,-1.5,-0.809999942779541,false,true
