grid_x,grid_y,local_x_m,local_y_m,dh_dx,dh_dy
0,0,-2.15,-3.4000000000000004,-0.013068366126669506,0.006581650071686429
1,0,-2.1,-3.4000000000000004,-0.016292282019828574,0.008854829066491376
2,0,-2.05,-3.4000000000000004,-0.02294933519275233,0.011405937071902184
3,0,-2.0,-3.4000000000000004,-0.02900278646890908,0.014102723210596135
4,0,-1.95,-3.4000000000000004,-0.03209019894278464,0.016842795081060125
5,0,-1.9,-3.4000000000000004,-0.03050729235824723,0.018752909385699734
6,0,-1.8499999999999999,-3.4000000000000004,-0.02538839508578139,0.01835685736838899
7,0,-1.7999999999999998,-3.4000000000000004,-0.01981136800830452,0.015083126477721809
8,0,-1.75,-3.4000000000000004,-0.015022492009716393,0.009884496134162646
9,0,-1.7,-3.4000000000000004,-0.009322081166120988,0.004256659737109647
10,0,-1.65,-3.4000000000000004,-0.0007460218834010046,-0.0007230803483326831
11,0,-1.5999999999999999,-3.4000000000000004,0.010268093262041367,-0.0042488927978800994
12,0,-1.5499999999999998,-3.4000000000000004,0.020838411862713624,-0.005317534810231894
13,0,-1.5,-3.4000000000000004,0.02968576834394887,-0.002998401455611699
14,0,-1.4499999999999997,-3.4000000000000004,0.04201878346593135,0.002043378198053336
15,0,-1.4,-3.4000000000000004,0.06661008312061734,0.006418068862605875
16,0,-1.3499999999999999,-3.4000000000000004,0.10418213073300375,0.006522982214007822
17,0,-1.2999999999999998,-3.4000000000000004,0.1399385822644228,0.0033056447250046084
18,0,-1.25,-3.4000000000000004,0.15312033761759825,0.002087232016925178
19,0,-1.1999999999999997,-3.4000000000000004,0.13773974015932167,0.006558517268244746
20,0,-1.15,-3.4000000000000004,0.11028776487933434,0.016303937266657353
21,0,-1.0999999999999999,-3.4000000000000004,0.09254379995470963,0.02874154960855302
22,0,-1.0499999999999998,-3.4000000000000004,0.08970238987203616,0.03870926524439211
23,0,-0.9999999999999998,-3.4000000000000004,0.08910407373206364,0.040065147847940796
24,0,-0.9499999999999997,-3.4000000000000004,0.07775006449307731,0.03185603439556539
25,0,-0.8999999999999999,-3.4000000000000004,0.054779159509287245,0.01792455799988213
26,0,-0.8499999999999999,-3.4000000000000004,0.0243744981407501,-0.0005808834228293591
27,0,-0.7999999999999998,-3.4000000000000004,-0.014420625929980613,-0.024184819566128724
28,0,-0.7499999999999998,-3.4000000000000004,-0.05938725347783724,-0.045795251717555274
29,0,-0.6999999999999997,-3.4000000000000004,-0.09294021526289553,-0.05266944414851871
30,0,-0.6499999999999999,-3.4000000000000004,-0.09517368995236364,-0.04158705016257036
31,0,-0.5999999999999999,-3.4000000000000004,-0.06890913449449254,-0.023868126517907484
32,0,-0.5499999999999998,-3.4000000000000004,-0.03800852780328157,-0.012606922031705992
33,0,-0.4999999999999998,-3.4000000000000004,-0.022892709182589233,-0.01250318314016896
34,0,-0.44999999999999973,-3.4000000000000004,-0.028720937818115244,-0.021939962746573283
35,0,-0.3999999999999999,-3.4000000000000004,-0.05087638913636394,-0.03618058786910128
36,0,-0.34999999999999987,-3.4000000000000004,-0.07833881329765924,-0.047050635570244914
37,0,-0.2999999999999998,-3.4000000000000004,-0.09413755114126565,-0.04637620585678626
38,0,-0.24999999999999978,-3.4000000000000004,-0.08565432106207527,-0.0338315054717242
39,0,-0.19999999999999973,-3.4000000000000004,-0.05784733836692757,-0.01788690050168462
40,0,-0.1499999999999999,-3.4000000000000004,-0.028498061165694866,-0.00672018112767514
41,0,-0.09999999999999964,-3.4000000000000004,-0.010068709223007843,-0.0017578549591990011
42,0,-0.04999999999999982,-3.4000000000000004,-0.0025020976727219146,-0.0003087150807523642
43,0,0.0,-3.4000000000000004,-0.00041883739594350544,-2.8701980141487837e-05
44,0,0.050000000000000266,-3.4000000000000004,-3.754266152955488e-05,2.880300249419321e-06
45,0,0.10000000000000009,-3.4000000000000004,2.56085930794292e-06,5.663727318250267e-06
46,0,0.15000000000000036,-3.4000000000000004,1.6075985910246615e-05,2.3558640116494445e-05
47,0,0.20000000000000018,-3.4000000000000004,9.887044013834334e-05,0.00012345615202136173
48,0,0.25000000000000044,-3.4000000000000004,0.0004829286328777993,0.0005506292581070049
49,0,0.30000000000000027,-3.4000000000000004,0.0018758049947009692,0.00195765984779106
50,0,0.3500000000000001,-3.4000000000000004,0.005852846747681495,0.00552722850777565
51,0,0.40000000000000036,-3.4000000000000004,0.014635086176644219,0.012376128187456814
52,0,0.4500000000000002,-3.4000000000000004,0.029031421150123027,0.021792732089318534
53,0,0.5000000000000004,-3.4000000000000004,0.04459925761358452,0.029878345241103332
54,0,0.5500000000000003,-3.4000000000000004,0.05228509651017843,0.03200731070624574
55,0,0.6000000000000001,-3.4000000000000004,0.0475029029777152,0.02772567709876661
56,0,0.6500000000000004,-3.4000000000000004,0.04209116850292016,0.02067952947881757
0,1,-2.15,-3.3500000000000005,-0.010795187131864559,0.007360303664399881
1,1,-2.1,-3.3500000000000005,-0.013880138519720697,0.009846217043489869
2,1,-2.05,-3.3500000000000005,-0.02032538812069995,0.012811046308093266
3,1,-2.0,-3.3500000000000005,-0.02628435746433011,0.015932345909938084
4,1,-1.95,-3.3500000000000005,-0.029765105855232843,0.018814331999262857
5,1,-1.9,-3.3500000000000005,-0.029750261214582796,0.020472910122690813
6,1,-1.8499999999999999,-3.3500000000000005,-0.027223286539770353,0.019507503244534652
7,1,-1.7999999999999998,-3.3500000000000005,-0.024047548625417692,0.015508449531835833
8,1,-1.75,-3.3500000000000005,-0.020435725380022474,0.00964776405846468
9,1,-1.7,-3.3500000000000005,-0.014625869407368652,0.0035206353321692863
10,1,-1.65,-3.3500000000000005,-0.004998798150895878,-0.0019260651676811236
11,1,-1.5999999999999999,-3.3500000000000005,0.007970866031091761,-0.00607835044745153
