grid_x,grid_y,local_x_m,local_y_m,height_m,measured,interpolated
0,0,-2.15,-3.4000000000000004,-0.7527813249862152,false,true
1,0,-2.1,-3.4000000000000004,-0.7534347432925487,false,true
2,0,-2.05,-3.4000000000000004,-0.754410553188198,false,true
3,0,-2.0,-3.4000000000000004,-0.7557296768118239,false,true
4,0,-1.95,-3.4000000000000004,-0.757310831835089,false,true
5,0,-1.9,-3.4000000000000004,-0.7589386967061024,false,true
6,0,-1.8499999999999999,-3.4000000000000004,-0.7603615610709137,false,true
7,0,-1.7999999999999998,-3.4000000000000004,-0.7614775362146805,false,true
8,0,-1.75,-3.4000000000000004,-0.7623426978717441,false,true
9,0,-1.7,-3.4000000000000004,-0.7629797854156521,false,true
10,0,-1.65,-3.4000000000000004,-0.7632749059883562,false,true
11,0,-1.5999999999999999,-3.4000000000000004,-0.7630543876039922,false,true
12,0,-1.5499999999999998,-3.4000000000000004,-0.7622480966621521,false,true
13,0,-1.5,-3.4000000000000004,-0.7609705464177209,false,true
14,0,-1.4499999999999997,-3.4000000000000004,-0.7592795198277572,false,true
15,0,-1.4,-3.4000000000000004,-0.7567686680711277,false,true
16,0,-1.3499999999999999,-3.4000000000000004,-0.7526185115156955,false,true
17,0,-1.2999999999999998,-3.4000000000000004,-0.7463504549978274,false,true
18,0,-1.25,-3.4000000000000004,-0.7386246532892532,false,true
19,0,-1.1999999999999997,-3.4000000000000004,-0.7310384212360675,false,true
20,0,-1.15,-3.4000000000000004,-0.724850679273321,false,true
21,0,-1.0999999999999999,-3.4000000000000004,-0.7200096447481341,false,true
22,0,-1.0499999999999998,-3.4000000000000004,-0.7155962992778501,false,true
23,0,-0.9999999999999998,-3.4000000000000004,-0.7110394057609305,false,true
24,0,-0.9499999999999997,-3.4000000000000004,-0.7066858919046437,false,true
25,0,-0.8999999999999999,-3.4000000000000004,-0.7032643993116228,false,true
26,0,-0.8499999999999999,-3.4000000000000004,-0.701207975953715,false,true
27,0,-0.7999999999999998,-3.4000000000000004,-0.7008269494975478,false,true
28,0,-0.7499999999999998,-3.4000000000000004,-0.702650038546713,false,true
29,0,-0.6999999999999997,-3.4000000000000004,-0.7067656748453315,false,true
30,0,-0.6499999999999999,-3.4000000000000004,-0.7119440600730026,false,true
31,0,-0.5999999999999999,-3.4000000000000004,-0.7162830438405678,false,true
32,0,-0.5499999999999998,-3.4000000000000004,-0.7188349735224518,false,true
33,0,-0.4999999999999998,-3.4000000000000004,-0.720083896620896,false,true
34,0,-0.44999999999999973,-3.4000000000000004,-0.7211242444407108,false,true
35,0,-0.3999999999999999,-3.4000000000000004,-0.7229559904027075,false,true
36,0,-0.34999999999999987,-3.4000000000000004,-0.7262118833543472,false,true
37,0,-0.2999999999999998,-3.4000000000000004,-0.7307898717324735,false,true
38,0,-0.24999999999999978,-3.4000000000000004,-0.7356256384684737,false,true
39,0,-0.19999999999999973,-3.4000000000000004,-0.739355303838681,false,true
40,0,-0.1499999999999999,-3.4000000000000004,-0.7414103723051665,false,true
41,0,-0.09999999999999964,-3.4000000000000004,-0.7422051099552505,false,true
42,0,-0.04999999999999982,-3.4000000000000004,-0.7424172432274673,false,true
43,0,0.0,-3.4000000000000004,-0.7424553197225227,false,true
44,0,0.050000000000000266,-3.4000000000000004,-0.7424591269670616,false,true
45,0,0.10000000000000009,-3.4000000000000004,-0.7424590739886756,false,true
46,0,0.15000000000000036,-3.4000000000000004,-0.7424588708811308,false,true
47,0,0.20000000000000018,-3.4000000000000004,-0.7424574663900846,false,true
48,0,0.25000000000000044,-3.4000000000000004,-0.742448983837117,false,true
49,0,0.30000000000000027,-3.4000000000000004,-0.7424091735267968,false,true
50,0,0.3500000000000001,-3.4000000000000004,-0.7422614033376469,false,true
51,0,0.40000000000000036,-3.4000000000000004,-0.7418238888520287,false,true
52,0,0.4500000000000002,-3.4000000000000004,-0.7407978947199825,false,true
53,0,0.5000000000000004,-3.4000000000000004,-0.7389207467370164,false,true
54,0,0.5500000000000003,-3.4000000000000004,-0.736337968958624,false,true
55,0,0.6000000000000001,-3.4000000000000004,-0.7336922370859985,false,true
56,0,0.6500000000000004,-3.4000000000000004,-0.7315876786608525,false,true
0,1,-2.15,-3.3500000000000005,-0.7524522424826309,false,true
1,1,-2.1,-3.3500000000000005,-0.7529920018392241,false,true
2,1,-2.05,-3.3500000000000005,-0.7538402563346029,false,true
3,1,-2.0,-3.3500000000000005,-0.7550245406512941,false,true
4,1,-1.95,-3.3500000000000005,-0.756468692081036,false,true
5,1,-1.9,-3.3500000000000005,-0.7580010512368174,false,true
6,1,-1.8499999999999999,-3.3500000000000005,-0.7594437182024942,false,true
7,1,-1.7999999999999998,-3.3500000000000005,-0.7607233798907944,true,false
8,1,-1.75,-3.3500000000000005,-0.761848473065036,true,false
9,1,-1.7,-3.3500000000000005,-0.7627669524287967,true,false
10,1,-1.65,-3.3500000000000005,-0.7633110600057729,true,false
11,1,-1.5999999999999999,-3.3500000000000005,-0.7632668322438863,false,true
12,1,-1.5499999999999998,-3.3500000000000005,-0.7625139734026637,false,true
13,1,-1.5,-3.3500000000000005,-0.7611204664905015,false,true
14,1,-1.4499999999999997,-3.3500000000000005,-0.7591773509178545,true,false
15,1,-1.4,-3.3500000000000005,-0.7564477646279975,false,true
16,1,-1.3499999999999999,-3.3500000000000005,-0.7522923624049951,false,true
17,1,-1.2999999999999998,-3.3500000000000005,-0.7461851727615771,false,true
18,1,-1.25,-3.3500000000000005,-0.7385202916884069,false,true
19,1,-1.1999999999999997,-3.3500000000000005,-0.7307104953726553,false,true
20,1,-1.15,-3.3500000000000005,-0.7240354824099882,false,true
21,1,-1.0999999999999999,-3.3500000000000005,-0.7185725672677065,false,true
22,1,-1.0499999999999998,-3.3500000000000005,-0.7136608360156305,false,true
23,1,-0.9999999999999998,-3.3500000000000005,-0.7090361483685335,false,true
24,1,-0.9499999999999997,-3.3500000000000005,-0.7050930901848654,false,true
25,1,-0.8999999999999999,-3.3500000000000005,-0.7023681714116287,false,true
26,1,-0.8499999999999999,-3.3500000000000005,-0.7012370201248564,false,true
27,1,-0.7999999999999998,-3.3500000000000005,-0.7020361904758542,false,true
28,1,-0.7499999999999998,-3.3500000000000005,-0.7049398011325908,false,true
29,1,-0.6999999999999997,-3.3500000000000005,-0.7093991470527574,false,true
30,1,-0.6499999999999999,-3.3500000000000005,-0.7140234125811311,false,true
31,1,-0.5999999999999999,-3.3500000000000005,-0.7174764501664632,false,true
32,1,-0.5499999999999998,-3.3500000000000005,-0.7194653196240371,false,true
33,1,-0.4999999999999998,-3.3500000000000005,-0.7207090557779045,false,true
34,1,-0.44999999999999973,-3.3500000000000005,-0.7222212425780394,false,true
35,1,-0.3999999999999999,-3.3500000000000005,-0.7247650197961626,false,true
36,1,-0.34999999999999987,-3.3500000000000005,-0.7285644151328594,false,true
37,1,-0.2999999999999998,-3.3500000000000005,-0.7331086820253128,false,true
38,1,-0.24999999999999978,-3.3500000000000005,-0.7373172137420599,false,true
39,1,-0.19999999999999973,-3.3500000000000005,-0.7402496488637652,false,true
40,1,-0.1499999999999999,-3.3500000000000005,-0.7417463813615502,false,true
41,1,-0.09999999999999964,-3.3500000000000005,-0.7422930027032104,false,true
42,1,-0.04999999999999982,-3.3500000000000005,-0.7424326789815049,false,true
43,1,0.0,-3.3500000000000005,-0.7424567548215297,false,true
44,1,0.050000000000000266,-3.3500000000000005,-0.7424589829520492,false,true
45,1,0.10000000000000009,-3.3500000000000005,-0.7424587908023097,false,true
46,1,0.15000000000000036,-3.3500000000000005,-0.742457692949125,false,true
47,1,0.20000000000000018,-3.3500000000000005,-0.7424512935824835,false,true
48,1,0.25000000000000044,-3.3500000000000005,-0.7424214523742116,false,true
49,1,0.30000000000000027,-3.3500000000000005,-0.7423112905344073,false,true
50,1,0.3500000000000001,-3.3500000000000005,-0.7419850419122581,false,true
51,1,0.40000000000000036,-3.3500000000000005,-0.7412050824426558,false,true
52,1,0.4500000000000002,-3.3500000000000005,-0.7397082581155165,false,true
53,1,0.5000000000000004,-3.3500000000000005,-0.7374268294749612,false,true
54,1,0.5500000000000003,-3.3500000000000005,-0.7347376034233117,false,true
55,1,0.6000000000000001,-3.3500000000000005,-0.7323059532310602,false,true
56,1,0.6500000000000004,-3.3500000000000005,-0.7305537021869116,false,true
0,2,-2.15,-3.3000000000000003,-0.7520452946197752,false,true
1,2,-2.1,-3.3000000000000003,-0.7524501215881997,false,true
2,2,-2.05,-3.3000000000000003,-0.7531294485573887,false,true
3,2,-2.0,-3.3000000000000003,-0.7541364422208301,false,true
4,2,-1.95,-3.3000000000000003,-0.7554293986351627,false,true
5,2,-1.9,-3.3000000000000003,-0.7568914056938333,false,true
6,2,-1.8499999999999999,-3.3000000000000003,-0.7584108107464602,false,true
7,2,-1.7999999999999998,-3.3000000000000003,-0.7599266912614969,true,false
