grid_x,grid_y,local_x_m,local_y_m,height_m,measured,interpolated
0,0,-0.7000000000000001,-0.55,-0.7459630786834801,false,true
1,0,-0.65,-0.55,-0.7478267030620399,false,true
2,0,-0.6000000000000001,-0.55,-0.7475309856430034,false,true
3,0,-0.55,-0.55,-0.7471127780583716,false,true
4,0,-0.5,-0.55,-0.7462256258012616,false,true
5,0,-0.45000000000000007,-0.55,-0.7448001055533442,false,true
6,0,-0.4,-0.55,-0.7430572929054996,false,true
7,0,-0.35000000000000003,-0.55,-0.7422120522385923,false,true
8,0,-0.30000000000000004,-0.55,-0.7488757819105408,false,true
9,0,-0.25000000000000006,-0.55,-0.7587376313113992,false,true
10,0,-0.20000000000000007,-0.55,-0.7590371308833853,false,true
11,0,-0.15000000000000002,-0.55,-0.7608194233637484,false,true
12,0,-0.09999999999999998,-0.55,-0.7632673458957496,false,true
13,0,-0.050000000000000044,-0.55,-0.762649749253806,false,true
14,0,0.0,-0.55,-0.7640974893824282,false,true
15,0,0.04999999999999993,-0.55,-0.7820718459704431,false,true
16,0,0.09999999999999998,-0.55,-0.7988729553127113,true,false
17,0,0.15000000000000002,-0.55,-0.8188566045665565,true,false
18,0,0.19999999999999996,-0.55,-0.8162937821871714,false,true
19,0,0.25,-0.55,-0.815048205575545,false,true
20,0,0.29999999999999993,-0.55,-0.8117084971480886,false,true
21,0,0.35,-0.55,-0.809621638076405,false,true
22,0,0.4,-0.55,-0.8093906717204872,false,true
23,0,0.45000000000000007,-0.55,-0.8093906717204872,false,true
24,0,0.5000000000000001,-0.55,-0.809421057860381,false,true
25,0,0.5499999999999999,-0.55,-0.8094808406876571,false,true
26,0,0.6,-0.55,-0.8095630023842615,false,true
0,1,-0.7000000000000001,-0.5,-0.7442756255663497,false,true
1,1,-0.65,-0.5,-0.7457139348962657,false,true
2,1,-0.6000000000000001,-0.5,-0.7478267030620399,false,true
3,1,-0.55,-0.5,-0.7471127780583716,false,true
4,1,-0.5,-0.5,-0.7463988530547032,false,true
5,1,-0.45000000000000007,-0.5,-0.7450934932129618,false,true
6,1,-0.4,-0.5,-0.7427864452447208,false,true
7,1,-0.35000000000000003,-0.5,-0.7414041290332478,false,true
8,1,-0.30000000000000004,-0.5,-0.7427802351868181,false,true
9,1,-0.25000000000000006,-0.5,-0.7510210784618262,false,true
10,1,-0.20000000000000007,-0.5,-0.7587376313113992,false,true
11,1,-0.15000000000000002,-0.5,-0.7594606872400131,false,true
12,1,-0.09999999999999998,-0.5,-0.7613608732255758,false,true
13,1,-0.050000000000000044,-0.5,-0.7632673458957496,true,false
14,1,0.0,-0.5,-0.7617763357066932,true,false
15,1,0.04999999999999993,-0.5,-0.7682102398776832,true,false
16,1,0.09999999999999998,-0.5,-0.7982102708720985,true,false
17,1,0.15000000000000002,-0.5,-0.8126694040202919,true,false
18,1,0.19999999999999996,-0.5,-0.8132866942384083,false,true
19,1,0.25,-0.5,-0.8117925933133103,false,true
20,1,0.29999999999999993,-0.5,-0.8099482738293957,false,true
21,1,0.35,-0.5,-0.8093906717204872,false,true
22,1,0.4,-0.5,-0.8093906717204872,false,true
23,1,0.45000000000000007,-0.5,-0.8094640303515271,false,true
24,1,0.5000000000000001,-0.5,-0.809565386372788,false,true
25,1,0.5499999999999999,-0.5,-0.809679196569907,false,true
26,1,0.6,-0.5,-0.8145595652248295,false,true
0,2,-0.7000000000000001,-0.45000000000000007,-0.7440661864185159,false,true
1,2,-0.65,-0.45000000000000007,-0.7445718172497082,false,true
2,2,-0.6000000000000001,-0.45000000000000007,-0.7459889762454145,false,true
3,2,-0.55,-0.45000000000000007,-0.7478267030620399,false,true
4,2,-0.5,-0.45000000000000007,-0.7461031356356667,false,true
5,2,-0.45000000000000007,-0.45000000000000007,-0.7453892106319984,false,true
6,2,-0.4,-0.45000000000000007,-0.7436656432056251,false,true
7,2,-0.35000000000000003,-0.45000000000000007,-0.7389403061771217,false,true
8,2,-0.30000000000000004,-0.45000000000000007,-0.7426269865592888,false,true
9,2,-0.25000000000000006,-0.45000000000000007,-0.7468368904839816,false,true
10,2,-0.20000000000000007,-0.45000000000000007,-0.7544196520555145,false,true
11,2,-0.15000000000000002,-0.45000000000000007,-0.758737631311399,true,false
12,2,-0.09999999999999998,-0.45000000000000007,-0.7604832427406135,true,false
13,2,-0.050000000000000044,-0.45000000000000007,-0.762529112567884,true,false
14,2,0.0,-0.45000000000000007,-0.7617052273654762,true,false
15,2,0.04999999999999993,-0.45000000000000007,-0.761126764287931,true,false
16,2,0.09999999999999998,-0.45000000000000007,-0.7978786306285682,true,false
17,2,0.15000000000000002,-0.45000000000000007,-0.8085897641086403,true,false
18,2,0.19999999999999996,-0.45000000000000007,-0.809073405650128,false,true
19,2,0.25,-0.45000000000000007,-0.810736842294222,false,true
20,2,0.29999999999999993,-0.45000000000000007,-0.8093906717204872,false,true
21,2,0.35,-0.45000000000000007,-0.8093906717204872,false,true
22,2,0.4,-0.45000000000000007,-0.8096411337535009,false,true
23,2,0.45000000000000007,-0.45000000000000007,-0.809883440084984,false,true
24,2,0.5000000000000001,-0.45000000000000007,-0.8100982872037351,false,true
25,2,0.5499999999999999,-0.45000000000000007,-0.8148151006722596,false,true
26,2,0.6,-0.45000000000000007,-0.8228504435920541,false,true
0,3,-0.7000000000000001,-0.4,-0.7440661864185157,false,true
1,3,-0.65,-0.4,-0.7440661864185159,false,true
2,3,-0.6000000000000001,-0.4,-0.7452868872287345,false,true
3,3,-0.55,-0.4,-0.7463057316936866,false,true
4,3,-0.5,-0.4,-0.7478267030620399,true,false
5,3,-0.45000000000000007,-0.4,-0.7436656432056251,true,false
6,3,-0.4,-0.4,-0.7394413916929932,false,true
7,3,-0.35000000000000003,-0.4,-0.7372171641352618,false,true
8,3,-0.30000000000000004,-0.4,-0.7389403061771217,true,false
9,3,-0.25000000000000006,-0.4,-0.7478407399558845,true,false
10,3,-0.20000000000000007,-0.4,-0.7533138172530952,true,false
11,3,-0.15000000000000002,-0.4,-0.7564559059047523,true,false
12,3,-0.09999999999999998,-0.4,-0.7591533737087074,true,false
13,3,-0.050000000000000044,-0.4,-0.7618276255035225,true,false
14,3,0.0,-0.4,-0.7626023368739906,true,false
15,3,0.04999999999999993,-0.4,-0.760187097063047,true,false
16,3,0.09999999999999998,-0.4,-0.7682102398776832,true,false
17,3,0.15000000000000002,-0.4,-0.8007993178272071,true,false
18,3,0.19999999999999996,-0.4,-0.8126406149768653,true,false
19,3,0.25,-0.4,-0.8093906717204872,true,false
20,3,0.29999999999999993,-0.4,-0.8093906717204872,false,true
21,3,0.35,-0.4,-0.810245802590462,false,true
22,3,0.4,-0.4,-0.8107188813497133,false,true
23,3,0.45000000000000007,-0.4,-0.8110363837651179,false,true
24,3,0.5000000000000001,-0.4,-0.8153717056146109,false,true
25,3,0.5499999999999999,-0.4,-0.8228504435920541,false,true
26,3,0.6,-0.4,-0.8228278734767588,false,true
0,4,-0.7000000000000001,-0.35000000000000003,-0.7440661864185157,false,true
1,4,-0.65,-0.35000000000000003,-0.7440661864185157,false,true
2,4,-0.6000000000000001,-0.35000000000000003,-0.7440661864185157,true,false
3,4,-0.55,-0.35000000000000003,-0.7470132188701454,true,false
4,4,-0.5,-0.35000000000000003,-0.745393760671598,true,false
5,4,-0.45000000000000007,-0.35000000000000003,-0.7412551121616188,true,false
6,4,-0.4,-0.35000000000000003,-0.737227656116468,true,false
7,4,-0.35000000000000003,-0.35000000000000003,-0.7347843723201576,true,false
8,4,-0.30000000000000004,-0.35000000000000003,-0.7382102684879127,true,false
9,4,-0.25000000000000006,-0.35000000000000003,-0.747714556922895,true,false
10,4,-0.20000000000000007,-0.35000000000000003,-0.7523076610469642,true,false
11,4,-0.15000000000000002,-0.35000000000000003,-0.7542560176753822,true,false
12,4,-0.09999999999999998,-0.35000000000000003,-0.7554613428020301,true,false
13,4,-0.050000000000000044,-0.35000000000000003,-0.7582563536071601,true,false
14,4,0.0,-0.35000000000000003,-0.7583781556987587,true,false
15,4,0.04999999999999993,-0.35000000000000003,-0.7591903285884681,true,false
16,4,0.09999999999999998,-0.35000000000000003,-0.7722061650657478,true,false
17,4,0.15000000000000002,-0.35000000000000003,-0.7968936638736549,true,false
18,4,0.19999999999999996,-0.35000000000000003,-0.809612043371183,true,false
19,4,0.25,-0.35000000000000003,-0.8115934257342166,false,true
20,4,0.29999999999999993,-0.35000000000000003,-0.8123102711343589,false,true
21,4,0.35,-0.35000000000000003,-0.8127161253763431,false,true
22,4,0.4,-0.35000000000000003,-0.8128806499986864,false,true
23,4,0.45000000000000007,-0.35000000000000003,-0.8164145094239081,false,true
24,4,0.5000000000000001,-0.35000000000000003,-0.8228504435920541,false,true
25,4,0.5499999999999999,-0.35000000000000003,-0.8227959545136039,false,true
26,4,0.6,-0.35000000000000003,-0.8227802819507654,false,true
0,5,-0.7000000000000001,-0.30000000000000004,-0.7440661864185157,false,true
1,5,-0.65,-0.30000000000000004,-0.7440661864185159,false,true
2,5,-0.6000000000000001,-0.30000000000000004,-0.7439232600858148,false,true
3,5,-0.55,-0.30000000000000004,-0.7446561531925026,true,false
4,5,-0.5,-0.30000000000000004,-0.744144924154264,true,false
5,5,-0.45000000000000007,-0.30000000000000004,-0.7428351418876472,true,false
6,5,-0.4,-0.30000000000000004,-0.7382102684879127,true,false
7,5,-0.35000000000000003,-0.30000000000000004,-0.7382102684879127,true,false
8,5,-0.30000000000000004,-0.30000000000000004,-0.7382102684879127,true,false
9,5,-0.25000000000000006,-0.30000000000000004,-0.7452786939048591,true,false
10,5,-0.20000000000000007,-0.30000000000000004,-0.7489467339420143,true,false
11,5,-0.15000000000000002,-0.30000000000000004,-0.7502820866012397,true,false
12,5,-0.09999999999999998,-0.30000000000000004,-0.7529092805290046,true,false
13,5,-0.050000000000000044,-0.30000000000000004,-0.7547205762767616,true,false
14,5,0.0,-0.30000000000000004,-0.7559818105602089,true,false
15,5,0.04999999999999993,-0.30000000000000004,-0.7576479988002601,true,false
16,5,0.09999999999999998,-0.30000000000000004,-0.7716369705104652,true,false
17,5,0.15000000000000002,-0.30000000000000004,-0.7982102708720985,true,false
18,5,0.19999999999999996,-0.30000000000000004,-0.8113207893276039,true,false
19,5,0.25,-0.30000000000000004,-0.8152298705482307,true,false
20,5,0.29999999999999993,-0.30000000000000004,-0.8166155436055597,false,true
21,5,0.35,-0.30000000000000004,-0.8157481703591728,false,true
22,5,0.4,-0.30000000000000004,-0.8180059840376394,false,true
23,5,0.45000000000000007,-0.30000000000000004,-0.8228504435920541,false,true
24,5,0.5000000000000001,-0.30000000000000004,-0.8227188953198586,false,true
25,5,0.5499999999999999,-0.30000000000000004,-0.8226879559585536,false,true
26,5,0.6,-0.30000000000000004,-0.8226202559565609,false,true
0,6,-0.7000000000000001,-0.25,-0.7440661864185159,false,true
1,6,-0.65,-0.25,-0.742414901546816,false,true
2,6,-0.6000000000000001,-0.25,-0.7416912258217181,false,true
3,6,-0.55,-0.25,-0.7395947055721107,true,false
4,6,-0.5,-0.25,-0.7403037922286811,true,false
5,6,-0.45000000000000007,-0.25,-0.7420017199420753,true,false
6,6,-0.4,-0.25,-0.7382102684879127,true,false
7,6,-0.35000000000000003,-0.25,-0.7399959342384163,true,false
8,6,-0.30000000000000004,-0.25,-0.7391085104846778,true,false
9,6,-0.25000000000000006,-0.25,-0.7445789055728737,true,false
10,6,-0.20000000000000007,-0.25,-0.7486776785754982,true,false
11,6,-0.15000000000000002,-0.25,-0.7504351811313453,true,false
12,6,-0.09999999999999998,-0.25,-0.7522222475910011,true,false
13,6,-0.050000000000000044,-0.25,-0.7572139279746833,true,false
14,6,0.0,-0.25,-0.7587813215160194,true,false
15,6,0.04999999999999993,-0.25,-0.7602524833583656,true,false
16,6,0.09999999999999998,-0.25,-0.773202963342649,true,false
17,6,0.15000000000000002,-0.25,-0.7982102708720985,true,false
18,6,0.19999999999999996,-0.25,-0.8111784832382026,true,false
19,6,0.25,-0.25,-0.8185751812362495,true,false
20,6,0.29999999999999993,-0.25,-0.8179594185753063,false,true
21,6,0.35,-0.25,-0.8196377730201134,false,true
22,6,0.4,-0.25,-0.8228504435920541,false,true
23,6,0.45000000000000007,-0.25,-0.8225328579692132,false,true
24,6,0.5000000000000001,-0.25,-0.8224817134606848,false,true
25,6,0.5499999999999999,-0.25,-0.822348815138527,false,true
26,6,0.6,-0.25,-0.7963841280463738,false,true
0,7,-0.7000000000000001,-0.2,-0.7417428042576757,false,true
1,7,-0.65,-0.2,-0.740463112693288,false,true
2,7,-0.6000000000000001,-0.2,-0.7395947055721108,false,true
3,7,-0.55,-0.2,-0.7390589538986233,false,true
4,7,-0.5,-0.2,-0.7382102684879127,true,false
5,7,-0.45000000000000007,-0.2,-0.7432144360446754,true,false
6,7,-0.4,-0.2,-0.7412078158759895,true,false
7,7,-0.35000000000000003,-0.2,-0.7402702944183174,true,false
8,7,-0.30000000000000004,-0.2,-0.7426108496093574,true,false
9,7,-0.25000000000000006,-0.2,-0.7442153172397438,true,false
10,7,-0.20000000000000007,-0.2,-0.7467706577682319,true,false
11,7,-0.15000000000000002,-0.2,-0.749265261163694,true,false
12,7,-0.09999999999999998,-0.2,-0.7536535339259925,true,false
13,7,-0.050000000000000044,-0.2,-0.7579117195510688,true,false
14,7,0.0,-0.2,-0.7622857766055885,true,false
15,7,0.04999999999999993,-0.2,-0.7661563830280128,true,false
16,7,0.09999999999999998,-0.2,-0.7723364310169044,true,false
17,7,0.15000000000000002,-0.2,-0.7982102708720985,true,false
18,7,0.19999999999999996,-0.2,-0.8111513631248298,true,false
19,7,0.25,-0.2,-0.8198181466960731,true,false
20,7,0.29999999999999993,-0.2,-0.820490151758707,false,true
21,7,0.35,-0.2,-0.8228504435920541,false,true
22,7,0.4,-0.2,-0.8220837240741768,false,true
23,7,0.45000000000000007,-0.2,-0.8220406540717137,false,true
24,7,0.5000000000000001,-0.2,-0.8217907883475829,false,true
25,7,0.5499999999999999,-0.2,-0.7960404191314208,false,true
26,7,0.6,-0.2,-0.7520628647708717,false,true
0,8,-0.7000000000000001,-0.15000000000000002,-0.7399544115793637,false,true
1,8,-0.65,-0.15000000000000002,-0.7395947055721108,false,true
2,8,-0.6000000000000001,-0.15000000000000002,-0.7388091008005973,false,true
3,8,-0.55,-0.15000000000000002,-0.7382374502766966,false,true
4,8,-0.5,-0.15000000000000002,-0.7382566707038704,true,false
5,8,-0.45000000000000007,-0.15000000000000002,-0.7397085206413093,true,false
6,8,-0.4,-0.15000000000000002,-0.7401915864848915,true,false
7,8,-0.35000000000000003,-0.15000000000000002,-0.7404999213123146,true,false
8,8,-0.30000000000000004,-0.15000000000000002,-0.7408381180667701,true,false
9,8,-0.25000000000000006,-0.15000000000000002,-0.7421756164932075,true,false
10,8,-0.20000000000000007,-0.15000000000000002,-0.7458752171897712,true,false
11,8,-0.15000000000000002,-0.15000000000000002,-0.7493328528308693,true,false
12,8,-0.09999999999999998,-0.15000000000000002,-0.75362766551016,true,false
13,8,-0.050000000000000044,-0.15000000000000002,-0.75782648490904,true,false
14,8,0.0,-0.15000000000000002,-0.7632143573665443,true,false
15,8,0.04999999999999993,-0.15000000000000002,-0.7682102398776832,true,false
16,8,0.09999999999999998,-0.15000000000000002,-0.7795503811740699,true,false
17,8,0.15000000000000002,-0.15000000000000002,-0.8021164612674537,true,false
18,8,0.19999999999999996,-0.15000000000000002,-0.8101277129554573,true,false
19,8,0.25,-0.15000000000000002,-0.8200175242328468,true,false
20,8,0.29999999999999993,-0.15000000000000002,-0.822850443592054,true,false
21,8,0.35,-0.15000000000000002,-0.8209994189334586,false,true
22,8,0.4,-0.15000000000000002,-0.8211699543697585,false,true
23,8,0.45000000000000007,-0.15000000000000002,-0.8206953552301148,false,true
24,8,0.5000000000000001,-0.15000000000000002,-0.7953762572372338,false,true
25,8,0.5499999999999999,-0.15000000000000002,-0.7520628647708717,false,true
26,8,0.6,-0.15000000000000002,-0.7522661285438417,false,true
0,9,-0.7000000000000001,-0.10000000000000003,-0.7395947055721108,false,true
