grid_x,grid_y,local_x_m,local_y_m,height_m,measured,interpolated
0,0,-0.65,-0.55,-0.7474121554264301,false,true
1,0,-0.6,-0.55,-0.7486677230259164,false,true
2,0,-0.55,-0.55,-0.7500488929663104,false,true
3,0,-0.5,-0.55,-0.7514796914396126,false,true
4,0,-0.45,-0.55,-0.7533270224644554,false,true
5,0,-0.4,-0.55,-0.7564148911631617,false,true
6,0,-0.35,-0.55,-0.761334665422021,false,true
7,0,-0.3,-0.55,-0.7676209827754167,false,true
8,0,-0.25,-0.55,-0.7737941122223273,false,true
9,0,-0.2,-0.55,-0.7784693634902946,false,true
10,0,-0.15000000000000002,-0.55,-0.7814291171601156,false,true
11,0,-0.09999999999999998,-0.55,-0.7838311353803052,false,true
12,0,-0.04999999999999993,-0.55,-0.7877824750407579,false,true
13,0,0.0,-0.55,-0.794997859116557,false,true
14,0,0.050000000000000044,-0.55,-0.8048111102738672,true,false
15,0,0.09999999999999998,-0.55,-0.8141367793842939,true,false
16,0,0.15000000000000002,-0.55,-0.8203043776968226,false,true
17,0,0.20000000000000007,-0.55,-0.823190237046794,false,true
18,0,0.25,-0.55,-0.8242905942707708,false,true
19,0,0.30000000000000004,-0.55,-0.8249302292860413,false,true
20,0,0.35,-0.55,-0.825749213638532,false,true
21,0,0.4,-0.55,-0.8270346283553527,false,true
22,0,0.45000000000000007,-0.55,-0.8288401997521441,false,true
23,0,0.5000000000000001,-0.55,-0.8308803494363527,false,true
24,0,0.5500000000000002,-0.55,-0.8327235110916879,false,true
0,1,-0.65,-0.5,-0.745504170062082,false,true
1,1,-0.6,-0.5,-0.7472346170288623,false,true
2,1,-0.55,-0.5,-0.749178344741783,false,true
3,1,-0.5,-0.5,-0.7510750263946679,false,true
4,1,-0.45,-0.5,-0.7531042429305922,false,true
5,1,-0.4,-0.5,-0.7560694011189011,false,true
6,1,-0.35,-0.5,-0.7606906821409918,false,true
7,1,-0.3,-0.5,-0.7666703777589117,false,true
8,1,-0.25,-0.5,-0.7726750655112685,false,true
9,1,-0.2,-0.5,-0.7773726903713819,true,false
10,1,-0.15000000000000002,-0.5,-0.7804230450019061,true,false
11,1,-0.09999999999999998,-0.5,-0.7827241996283311,true,false
12,1,-0.04999999999999993,-0.5,-0.7862185873117932,true,false
13,1,0.0,-0.5,-0.7928398589955263,true,false
14,1,0.050000000000000044,-0.5,-0.8024282252830158,true,false
15,1,0.09999999999999998,-0.5,-0.8121659894076753,true,false
16,1,0.15000000000000002,-0.5,-0.8191390913585274,true,false
17,1,0.20000000000000007,-0.5,-0.8227908885215184,false,true
18,1,0.25,-0.5,-0.8244195651311668,false,true
19,1,0.30000000000000004,-0.5,-0.8254337063590612,false,true
20,1,0.35,-0.5,-0.8266305627856342,false,true
21,1,0.4,-0.5,-0.8283468081994468,false,true
22,1,0.45000000000000007,-0.5,-0.8305245775433512,false,true
23,1,0.5000000000000001,-0.5,-0.832741674322669,false,true
24,1,0.5500000000000002,-0.5,-0.8345656969309252,false,true
0,2,-0.65,-0.45000000000000007,-0.7430029491672704,false,true
1,2,-0.6,-0.45000000000000007,-0.7453951637007737,false,true
2,2,-0.55,-0.45000000000000007,-0.7481479518370815,false,true
3,2,-0.5,-0.45000000000000007,-0.7507355266428868,true,false
4,2,-0.45,-0.45000000000000007,-0.7530465923751808,true,false
5,2,-0.4,-0.45000000000000007,-0.7558345465543427,true,false
6,2,-0.35,-0.45000000000000007,-0.759999148911638,true,false
7,2,-0.3,-0.45000000000000007,-0.7654640600227599,true,false
8,2,-0.25,-0.45000000000000007,-0.7710792448751534,true,false
9,2,-0.2,-0.45000000000000007,-0.7756304435563557,true,false
10,2,-0.15000000000000002,-0.45000000000000007,-0.7787287406790728,true,false
11,2,-0.09999999999999998,-0.45000000000000007,-0.7810005063061256,true,false
12,2,-0.04999999999999993,-0.45000000000000007,-0.7841089774336389,true,false
13,2,0.0,-0.45000000000000007,-0.7901244491917406,true,false
14,2,0.050000000000000044,-0.45000000000000007,-0.7994760837200772,true,false
15,2,0.09999999999999998,-0.45000000000000007,-0.8097504785289134,true,false
16,2,0.15000000000000002,-0.45000000000000007,-0.8177842707601377,true,false
17,2,0.20000000000000007,-0.45000000000000007,-0.8224816807266325,false,true
18,2,0.25,-0.45000000000000007,-0.8248787963131982,false,true
19,2,0.30000000000000004,-0.45000000000000007,-0.8264675996877643,false,true
20,2,0.35,-0.45000000000000007,-0.8281942805162952,false,true
21,2,0.4,-0.45000000000000007,-0.8303792994939543,false,true
22,2,0.45000000000000007,-0.45000000000000007,-0.8328045267339529,false,true
23,2,0.5000000000000001,-0.45000000000000007,-0.8349720307921262,false,true
24,2,0.5500000000000002,-0.45000000000000007,-0.8365585367301818,false,true
0,3,-0.65,-0.4,-0.7408135607990952,false,true
1,3,-0.6,-0.4,-0.743862422824589,false,true
2,3,-0.55,-0.4,-0.7474361381108698,true,false
3,3,-0.5,-0.4,-0.7507332357405835,true,false
4,3,-0.45,-0.4,-0.753315255578293,true,false
5,3,-0.4,-0.4,-0.755845691366703,true,false
6,3,-0.35,-0.4,-0.7593953754148126,true,false
7,3,-0.3,-0.4,-0.7641252322803764,true,false
8,3,-0.25,-0.4,-0.7690937962080632,true,false
9,3,-0.2,-0.4,-0.7732708622020514,true,false
10,3,-0.15000000000000002,-0.4,-0.7763269428440326,true,false
11,3,-0.09999999999999998,-0.4,-0.7786741955565937,true,false
12,3,-0.04999999999999993,-0.4,-0.7816290384435842,true,false
13,3,0.0,-0.4,-0.78726250620699,true,false
14,3,0.050000000000000044,-0.4,-0.7965381113579109,true,false
15,3,0.09999999999999998,-0.4,-0.8074958458882203,true,false
16,3,0.15000000000000002,-0.4,-0.8167599397131361,true,false
17,3,0.20000000000000007,-0.4,-0.8226842938020399,false,true
18,3,0.25,-0.4,-0.8260153169808184,false,true
19,3,0.30000000000000004,-0.4,-0.828288921884734,false,true
20,3,0.35,-0.4,-0.8305289767373862,false,true
21,3,0.4,-0.4,-0.832971987130659,false,true
22,3,0.45000000000000007,-0.4,-0.83529143812845,false,true
23,3,0.5000000000000001,-0.4,-0.8370733290693821,false,true
24,3,0.5500000000000002,-0.4,-0.8382085330693578,false,true
0,4,-0.65,-0.35000000000000003,-0.740307863005721,false,true
1,4,-0.6,-0.35000000000000003,-0.7436259222783486,true,false
2,4,-0.55,-0.35000000000000003,-0.7475434634190492,true,false
3,4,-0.5,-0.35000000000000003,-0.7511393839359853,true,false
4,4,-0.45,-0.35000000000000003,-0.7537777121084638,true,false
5,4,-0.4,-0.35000000000000003,-0.7559885921300803,true,false
6,4,-0.35,-0.35000000000000003,-0.7588865172052427,true,false
7,4,-0.3,-0.35000000000000003,-0.7628078739639071,true,false
8,4,-0.25,-0.35000000000000003,-0.7670232057407452,true,false
9,4,-0.2,-0.35000000000000003,-0.7707086410432348,true,false
10,4,-0.15000000000000002,-0.35000000000000003,-0.7736526835369478,true,false
11,4,-0.09999999999999998,-0.35000000000000003,-0.7761534247480499,true,false
12,4,-0.04999999999999993,-0.35000000000000003,-0.7792352852436819,true,false
13,4,0.0,-0.35000000000000003,-0.7848695093320888,true,false
14,4,0.050000000000000044,-0.35000000000000003,-0.79436142481572,true,false
15,4,0.09999999999999998,-0.35000000000000003,-0.8061177795231121,true,false
16,4,0.15000000000000002,-0.35000000000000003,-0.8166174510795494,true,false
17,4,0.20000000000000007,-0.35000000000000003,-0.8237532646789758,true,false
18,4,0.25,-0.35000000000000003,-0.8279878557603042,false,true
19,4,0.30000000000000004,-0.35000000000000003,-0.830826315700903,false,true
20,4,0.35,-0.35000000000000003,-0.8332880841634349,false,true
21,4,0.4,-0.35000000000000003,-0.8355539867491346,false,true
22,4,0.45000000000000007,-0.35000000000000003,-0.8373625779365822,false,true
23,4,0.5000000000000001,-0.35000000000000003,-0.8385348175073012,false,true
24,4,0.5500000000000002,-0.35000000000000003,-0.8391699857028337,false,true
0,5,-0.65,-0.30000000000000004,-0.7419929418608822,false,true
1,5,-0.6,-0.30000000000000004,-0.7449416916205822,false,true
2,5,-0.55,-0.30000000000000004,-0.7484387263584938,true,false
3,5,-0.5,-0.30000000000000004,-0.751708710054383,true,false
4,5,-0.45,-0.30000000000000004,-0.754138897639577,true,false
5,5,-0.4,-0.30000000000000004,-0.7560684439074451,true,false
6,5,-0.35,-0.30000000000000004,-0.7584461705467164,true,false
7,5,-0.3,-0.30000000000000004,-0.7616732283097337,true,false
8,5,-0.25,-0.30000000000000004,-0.7652373445486431,true,false
9,5,-0.2,-0.30000000000000004,-0.7685106019691055,true,false
10,5,-0.15000000000000002,-0.30000000000000004,-0.7713717356240776,true,false
11,5,-0.09999999999999998,-0.30000000000000004,-0.7740785444404312,true,false
12,5,-0.04999999999999993,-0.30000000000000004,-0.7774958164909511,true,false
13,5,0.0,-0.30000000000000004,-0.7834516329807436,true,false
14,5,0.050000000000000044,-0.30000000000000004,-0.7933459618101203,true,false
