grid_x,grid_y,local_x_m,local_y_m,height_m,measured,interpolated
0,0,-0.8,-0.65,-0.7240606858395041,false,true
1,0,-0.75,-0.65,-0.7292255665360168,false,true
2,0,-0.7000000000000001,-0.65,-0.7343864156864582,false,true
3,0,-0.65,-0.65,-0.7346925937263289,false,true
4,0,-0.6000000000000001,-0.65,-0.7352495904840856,false,true
5,0,-0.55,-0.65,-0.7419484749931641,false,true
6,0,-0.5,-0.65,-0.7515660538338125,false,true
7,0,-0.45,-0.65,-0.751662168031259,false,true
8,0,-0.4,-0.65,-0.7518611020931347,false,true
9,0,-0.35000000000000003,-0.65,-0.7524451972331662,false,true
10,0,-0.30000000000000004,-0.65,-0.7535845666088031,false,true
11,0,-0.25,-0.65,-0.7554748496416819,false,true
12,0,-0.19999999999999996,-0.65,-0.7562042488716543,false,true
13,0,-0.15000000000000002,-0.65,-0.7558129916669825,false,true
14,0,-0.09999999999999998,-0.65,-0.7556282062822698,false,true
15,0,-0.050000000000000044,-0.65,-0.7668568416163268,false,true
16,0,0.0,-0.65,-0.7869357778690755,false,true
17,0,0.050000000000000044,-0.65,-0.7923236573962807,false,true
18,0,0.09999999999999998,-0.65,-0.7945553901688814,false,true
19,0,0.15000000000000002,-0.65,-0.7999432696960866,false,true
20,0,0.19999999999999996,-0.65,-0.7988525784953269,false,true
21,0,0.25,-0.65,-0.8050977505356137,false,true
22,0,0.30000000000000004,-0.65,-0.8128530993126332,false,true
23,0,0.3500000000000001,-0.65,-0.8130894312356035,false,true
24,0,0.40000000000000013,-0.65,-0.8185574088510906,false,true
25,0,0.44999999999999996,-0.65,-0.8247326924465597,false,true
26,0,0.5,-0.65,-0.8247132411184954,false,true
27,0,0.55,-0.65,-0.8246883760443849,false,true
0,1,-0.8,-0.6,-0.7241438528447759,false,true
1,1,-0.75,-0.6,-0.7240606858395041,false,true
2,1,-0.7000000000000001,-0.6,-0.7292312680031477,false,true
3,1,-0.65,-0.6,-0.7343864156864582,false,true
4,1,-0.6000000000000001,-0.6,-0.7351255948628146,false,true
5,1,-0.55,-0.6,-0.7362881215709893,false,true
6,1,-0.5,-0.6,-0.7431749932673407,false,true
7,1,-0.45,-0.6,-0.7515660538338125,false,true
8,1,-0.4,-0.6,-0.7517980940328245,false,true
9,1,-0.35000000000000003,-0.6,-0.7522452572058865,false,true
10,1,-0.30000000000000004,-0.6,-0.7533750583317481,false,true
11,1,-0.25,-0.6,-0.7552201654585604,false,true
12,1,-0.19999999999999996,-0.6,-0.7569032924940962,false,true
13,1,-0.15000000000000002,-0.6,-0.7562042488716543,false,true
14,1,-0.09999999999999998,-0.6,-0.7552596704217593,false,true
15,1,-0.050000000000000044,-0.6,-0.7555733521050398,false,true
16,1,0.0,-0.6,-0.7660153727419884,false,true
17,1,0.050000000000000044,-0.6,-0.7869357778690755,true,false
18,1,0.09999999999999998,-0.6,-0.7999432696960866,true,false
19,1,0.15000000000000002,-0.6,-0.7973101082068517,false,true
20,1,0.19999999999999996,-0.6,-0.8029620381129458,false,true
21,1,0.25,-0.6,-0.8128530993126332,false,true
22,1,0.30000000000000004,-0.6,-0.8134236550462899,false,true
23,1,0.3500000000000001,-0.6,-0.8175571271414526,false,true
24,1,0.40000000000000013,-0.6,-0.8247326924465597,false,true
25,1,0.44999999999999996,-0.6,-0.8246857327865407,false,true
26,1,0.5,-0.6,-0.8246532115193485,false,true
27,1,0.55,-0.6,-0.824585186707843,false,true
0,2,-0.8,-0.55,-0.7243105018218191,false,true
1,2,-0.75,-0.55,-0.724261468751573,false,true
2,2,-0.7000000000000001,-0.55,-0.7240606858395041,false,true
3,2,-0.65,-0.55,-0.7292530956545633,false,true
4,2,-0.6000000000000001,-0.55,-0.7343864156864582,false,true
5,2,-0.55,-0.55,-0.7361709520790414,false,true
